"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000024526",10.917710434826,8.88704801145868,2.74518200816237,1.02876967527479e-09,6.86804618018009e-08
"ENSMUSG00000006476",16.4549562605156,4.5251453691902,0.785013791173112,1.04222572209362e-09,6.92393761424049e-08
"ENSMUSG00000033039",47.3445267719888,2.63031895154118,0.467072919253892,1.0906894600874e-09,7.21072803734484e-08
"ENSMUSG00000006576",28.5036248490027,2.66110615586388,0.470650405003713,1.11359342421796e-09,7.3265839828137e-08
"ENSMUSG00000025477",150.732503364672,1.86001196638742,0.327673053916858,1.22213147139025e-09,8.00202332156916e-08
"ENSMUSG00000030067",266.857632311682,-1.56310705939497,0.270652024312319,1.2351414578756e-09,8.04851268651091e-08
"ENSMUSG00000031827",243.278483384748,1.56413937765646,0.273281416523766,1.34586496919765e-09,8.72825476928704e-08
"ENSMUSG00000057230",439.315866389886,1.21411299912548,0.207880915980024,1.41185671895015e-09,9.07253904385895e-08
"ENSMUSG00000071369",37.8415333851662,2.57457345817028,0.451283454796446,1.41227570107798e-09,9.07253904385895e-08
"ENSMUSG00000001751",22.2824231829889,3.32122991143853,0.596951786933208,1.47032874254764e-09,9.40113011490904e-08
"ENSMUSG00000019773",454.514098750821,-2.24784945507422,0.393002212972818,1.53016142874353e-09,9.73797593367205e-08
"ENSMUSG00000016918",111.97965551598,-2.00287335319613,0.360252130861851,1.54377930072295e-09,9.77894432397483e-08
"ENSMUSG00000039542",617.660864390898,-1.29821742145468,0.223108293848465,1.56072841309346e-09,9.80041061547711e-08
"ENSMUSG00000110631",1909.86196912531,-1.14583085906441,0.197880501590371,1.56156039618073e-09,9.80041061547711e-08
"ENSMUSG00000050953",551.89256110635,-2.33216290180784,0.423016617402639,1.57628240604891e-09,9.84742664586241e-08
"ENSMUSG00000037999",119.249757295409,1.79594886479178,0.310744561666193,1.59883165224801e-09,9.9426887086601e-08
"ENSMUSG00000018042",918.781411448262,1.16885173484586,0.200305660024607,1.72520071290902e-09,1.06797765950491e-07
"ENSMUSG00000022098",12.5922401455545,4.73662867751296,0.821701152495591,1.76352966429404e-09,1.0867651809059e-07
"ENSMUSG00000000253",97.1094271763756,1.46229710413837,0.256537421703622,1.78004492353725e-09,1.09200143304747e-07
"ENSMUSG00000006585",1111.80689038483,-1.31714914649901,0.227583970646706,1.83890000231036e-09,1.12304839154551e-07
"ENSMUSG00000026701",479.133226904968,1.09578502327215,0.190122922332408,1.96178660376017e-09,1.19274873913437e-07
"ENSMUSG00000040669",848.929408407063,-1.04486757034074,0.181155415082367,2.10881378032075e-09,1.27644154996392e-07
"ENSMUSG00000032041",136.077632733663,1.40850020873123,0.249570098586241,2.2806002900011e-09,1.3743139535188e-07
"ENSMUSG00000025001",1608.13252589341,-1.13394300962001,0.196547500209831,2.3214727391452e-09,1.39278137596557e-07
"ENSMUSG00000019087",518.025155374672,1.77348204613978,0.316136891883481,2.35297128830504e-09,1.40548754278186e-07
"ENSMUSG00000020580",935.166878651278,1.14648039246752,0.199603311643926,2.43464977272974e-09,1.44792555697844e-07
"ENSMUSG00000022433",428.794145690144,1.61844107038116,0.28727332316504,2.51652413675491e-09,1.49011053123761e-07
"ENSMUSG00000020121",41.05966862893,2.91483596790556,0.52561984951264,2.55879433856825e-09,1.5085809565784e-07
"ENSMUSG00000027276",78.1757185477465,-2.77029134577372,0.522774874283592,2.61688269804517e-09,1.52958478389173e-07
"ENSMUSG00000028917",52.9032516079853,1.9449163600623,0.345214962932555,2.61631565772077e-09,1.52958478389173e-07
"ENSMUSG00000019998",83.7705711309193,1.58962790219288,0.27981211554871,2.65128875924584e-09,1.54307271846876e-07
"ENSMUSG00000038058",44.5174575640303,-3.74736021745079,0.672998683081042,2.69598463274457e-09,1.56240913673823e-07
"ENSMUSG00000097312",214.665842374284,-2.07784263912538,0.387560425301919,2.74402175994427e-09,1.5835098452831e-07
